LoanID	BorrowerID	LoanPurpose	LoanStatus	RepaymentStatus	default_reason	StartDate	Amount	grossrate	PrincipalOutstanding	term	MaturityDate	DaysEarly
42371	4427454	Personal Loan	Active	Repaying		2021-11-08	21000.0	4.00157	20480.46	36	2024-11-08	
42241	4425173	Personal Loan	Settled	Repaid		2021-11-03	1070.0	4.00157	0.0	24	2021-12-14	689.0
42265	4428233	Personal Loan	Active	Repaying		2021-11-03	5250.0	4.00157	5190.02	60	2026-11-20	
42213	3503532	Personal Loan	Active	Repaying		2021-11-02	5250.0	4.00157	5176.92	60	2026-11-02	
42216	3829305	Personal Loan	Active	Repaying		2021-11-02	8925.0	4.00157	8801.0	60	2026-11-02	
42234	4400797	Personal Loan	Active	Repaying		2021-11-02	5250.0	4.00157	5118.15	36	2024-11-02	
42200	4391133	Personal Loan	Active	Repaying		2021-11-01	5250.0	4.00157	5128.33	36	2024-11-01	
42108	4383689	Personal Loan	Active	Repaying		2021-10-22	7350.0	4.00157	7160.92	60	2026-10-22	
42086	2673360	Personal Loan	Active	Repaying		2021-10-21	2100.0	4.00157	1935.95	24	2023-10-21	
42088	3280775	Personal Loan	Active	Repaying		2021-10-21	4200.0	4.00157	3874.46	24	2023-10-21	
42080	4333286	Personal Loan	Active	Repaying		2021-10-20	3150.0	4.00157	3043.08	48	2025-10-20	
42042	1816134	Personal Loan	Active	Repaying		2021-10-19	3150.0	4.00157	2991.6	36	2024-10-19	
42028	3403077	Personal Loan	Active	Repaying		2021-10-18	4200.0	4.00157	4047.81	48	2025-10-18	
42007	4370417	Personal Loan	Active	Repaying		2021-10-18	2100.0	4.00157	2049.72	36	2024-11-20	
42018	3004210	Personal Loan	Active	Repaying		2021-10-18	4200.0	4.00157	4093.63	60	2026-10-18	
42022	2754574	Personal Loan	Active	Repaying		2021-10-18	5250.0	4.00157	4997.54	36	2024-10-18	
41931	326399	Personal Loan	Active	Repaying		2021-10-13	13125.0	4.00157	12506.06	36	2024-10-13	
41889	1483811	Personal Loan	Active	Repaying		2021-10-05	5775.0	4.00157	5566.01	48	2025-10-05	
41678	239992	Personal Loan	Active	Repaying		2021-09-27	2100.0	4.00157	1863.08	24	2023-09-27	
41410	270679	Personal Loan	Active	Repaying		2021-09-17	8925.0	4.00157	8569.86	60	2026-09-17	
41374	671378	Personal Loan	Active	Repaying		2021-09-15	15750.0	4.00157	14587.21	36	2024-09-26	
41375	1381642	Personal Loan	Active	Repaying		2021-09-15	7612.5	4.00157	3809.02	48	2025-09-15	
41377	4195127	Personal Loan	Active	Repaying		2021-09-15	5250.0	4.00157	4878.28	36	2024-09-15	
41373	4152541	Personal Loan	Active	Repaying		2021-09-15	5250.0	4.00157	4975.79	48	2025-09-23	
41376	3400979	Personal Loan	Active	Repaying		2021-09-15	2100.0	4.00157	1950.73	36	2024-09-15	
41378	1732288	Personal Loan	Active	Repaying		2021-09-15	1650.0	4.00157	1531.55	36	2024-09-15	
41369	697478	Personal Loan	Active	Repaying		2021-09-14	2625.0	4.00157	2428.92	36	2024-09-14	
